SKU,Category (Drop Down),Sub Category (drop Down),Product Name,Features,Pricing,Description HTML,Images
ONG089,Sanitary Wares,Mirror,Free Standing Magnifying Mirror,,200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Colour</strong></td>
 <td>Chrome or Nickel</td>
 </tr>
 <tr>
 <td><strong>Dimensions</strong></td>
 <td>230 (W) x 140 (D) x 407 (H) mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01873.png
ONG090,Kitchen,Taps,Kitchen Sink Mixer with Flexible Spout,,250,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""width: 42.2538%; height: 13px;""><strong>Type</strong></td>
 <td style=""width: 50.7462%; height: 13px;"">Kitchen Sink Mixer</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 42.2538%; height: 13px;""><strong>Material</strong></td>
 <td style=""width: 50.7462%; height: 13px;"">SUS 304 Stainless Steel</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01796.png
ONG091,Kitchen,Taps,Kitchen Sink Mixer with Flexible Spout,,300,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""width: 42.2538%; height: 13px;""><strong>Type</strong></td>
 <td style=""width: 50.7462%; height: 13px;"">Kitchen Sink Mixer</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 42.2538%; height: 13px;""><strong>Material</strong></td>
 <td style=""width: 50.7462%; height: 13px;"">Brass Chrome with 35mm cartridge</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01798.png
ONG092,Kitchen,Taps,Kitchen Sink Mixer with Pull-out Spray,,300,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Type</strong></td>
 <td>Kitchen Sink Mixer</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Brass Chrome</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01793.png
ONG093,Kitchen,Taps,Kitchen Sink Mixer with Pull-out Spray,,300,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Type</strong></td>
 <td>Kitchen Sink Mixer</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Brass Chrome</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01794.png
ONG094,Kitchen,Taps,Kitchen Sink Mixer with Pull-out Spray,,300,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""width: 42.2538%; height: 13px;""><strong>Type</strong></td>
 <td style=""width: 50.7462%; height: 13px;"">Kitchen Sink Mixer</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 42.2538%; height: 13px;""><strong>Material</strong></td>
 <td style=""width: 50.7462%; height: 13px;"">SUS 304 Stainless Steel</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01795.png
ONG095,Kitchen,Taps,Kitchen Sink Mixer with Pull-out Spray,,300,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""width: 42.2538%; height: 13px;""><strong>Type</strong></td>
 <td style=""width: 50.7462%; height: 13px;"">Kitchen Sink Mixer</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 42.2538%; height: 13px;""><strong>Material</strong></td>
 <td style=""width: 50.7462%; height: 13px;"">SUS 304 Stainless Steel</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01797.png
ONG096,Kitchen,Taps,Kitchen Pillar Flexi Sink Tap,"Kitchen pillar flexi sink tap.
 Adjustable (Mixer).",300,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Material</strong></td>
 <td>Body Brass</td>
 </tr>
 <tr>
 <td><strong>Finishing</strong></td>
 <td>Chrome</td>
 </tr>
 <tr>
 <td><strong>Height</strong></td>
 <td>760mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01557.png
ONG097,Kitchen,Taps,Kitchen Pillar Sink Tap,Kitchen pillar sink tap.,450,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel 304</td>
 </tr>
 <tr>
 <td><strong>Finishing</strong></td>
 <td>Black</td>
 </tr>
 <tr>
 <td><strong>Height</strong></td>
 <td>450mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01559.png
ONG098,Kitchen,Taps,Kitchen Pillar Sink Tap (Mixer),Kitchen pillar sink tap.,500,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Material</strong></td>
 <td>Brass</td>
 </tr>
 <tr>
 <td><strong>Finishing</strong></td>
 <td>Gold</td>
 </tr>
 <tr>
 <td><strong>Height</strong></td>
 <td>350mm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01558.png
ONG099,Kitchen,Taps,FLO2 Single Lever Pulldown Conical Sink Mixer,FLO2 Single Lever Pulldown Conical Sink Mixer with spray & aerated flow sprayhead with 1.75M long tube & 375mm long braided hoses.,450,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Connection Size</strong></td>
 <td>Braided hoses, 1/2"" FIP (WRAS Approved)<br>Withstand pressure of 10 Bar</td>
 </tr>
 <tr>
 <td><strong>Flow Rate</strong></td>
 <td>Aerated - 7.65 LPM @ 3 bar<br>Spray - 7.11 LPM @ 3 bar</td>
 </tr>
 <tr>
 <td><strong>Recommended Water Pressure</strong></td>
 <td>1.0 Bar - 5 Bar</td>
 </tr>
 <tr>
 <td><strong>Water Tightness</strong></td>
 <td>16 bar (Pass)</td>
 </tr>
 <tr>
 <td><strong>Pressure Resistance</strong></td>
 <td>25 bar (Pass)</td>
 </tr>
 <tr>
 <td><strong>Available Colour Finishing</strong></td>
 <td>Chrome (CHR)</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01480.jpg
ONG100,Kitchen,Taps,FLO2 Single Lever Pulldown Sink Mixer,FLO2 Single Lever Pulldown Sink Mixer with spray & aerated flow sprayhead with 1.75M long tube & 375mm long braided hoses Aerated.,450,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Connection Size</strong></td>
 <td>Braided hoses, 1/2"" FIP (WRAS Approved)<br>Withstand pressure of 10 Bar</td>
 </tr>
 <tr>
 <td><strong>Flow Rate</strong></td>
 <td>Permix - 8.66 LPM @ 3 bar<br>Spray - 8.13 LPM @ 3 bar</td>
 </tr>
 <tr>
 <td><strong>Recommended Water Pressure</strong></td>
 <td>1.0 Bar - 5 Bar</td>
 </tr>
 <tr>
 <td><strong>Water Tightness</strong></td>
 <td>16 bar (Pass)</td>
 </tr>
 <tr>
 <td><strong>Pressure Resistance</strong></td>
 <td>25 bar (Pass)</td>
 </tr>
 <tr>
 <td><strong>Available Colour Finishing</strong></td>
 <td>Chrome (CHR)</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01479.jpg
ONG101,Kitchen,Taps,Stainless Steel Kitchen Sink Mixer with Filter Tap,,400,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""width: 51.2625px; height: 13px;""><strong>Type</strong></td>
 <td style=""width: 102.737px; height: 13px;"">Kitchen Sink Mixer with Filter Tap</td>
 </tr>
 <tr style=""height: 27px;"">
 <td style=""width: 51.2625px; height: 27px;""><strong>Finish</strong></td>
 <td style=""width: 102.737px; height: 27px;"">Stainless Steel</td>
 </tr>
 <tr style=""height: 13.8px;"">
 <td style=""width: 51.2625px; height: 13.8px;""><strong>Height</strong></td>
 <td style=""width: 102.737px; height: 13.8px;"">404mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 154px; height: 13px;"" colspan=""2"">
 <ul>
 <li style=""text-align: justify;"">35mm ceramic cartridge.</li>
 <li style=""text-align: justify;"">M10-G1/2 stainless steel hose.</li>
 </ul>
 </td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01780.png
ONG102,Hot Water System,Instant Heater,Water Heater with Non-Pump (Sandy Beach),"Slim Matte-Finished Body.
 3-Multi Spray Handshower.
 Anti-Twist Hose.
 1-Knob Control.
 Dual Over Temperature Safety Cut-off.
 High Quality Stop Valve.
 Anti Leak Heater Tank.
 Rainshower Accessory: sold separately.",450,"<div bis_skin_checked=""1"">
  <table class=""product"" style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 27.8px;"">
 <td class=""table-left"" style=""height: 27.8px;""><strong>Shower Head</strong></td>
 <td class=""table-right"" style=""height: 27.8px;"">Handshower<br>(Rainshower accessory&nbsp;<a href=""product/id/rrs-c1xx"">sold separately</a>)</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Colour</strong></td>
 <td class=""table-right"" style=""height: 13px;"">Beige</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Pump</strong></td>
 <td class=""table-right"" style=""height: 13px;"">No</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Pump Noise Level</strong></td>
 <td class=""table-right"" style=""height: 13px;"">50-60</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Thermostat</strong></td>
 <td class=""table-right"" style=""height: 13px;"">Double Action</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Power Rating</strong></td>
 <td class=""table-right"" style=""height: 13px;"">3.8kW</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Voltage</strong></td>
 <td class=""table-right"" style=""height: 13px;"">240V</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Water Temperature E-Control</strong></td>
 <td class=""table-right"" style=""height: 13px;"">Electronic</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Min Flow Rate</strong></td>
 <td class=""table-right"" style=""height: 13px;"">2L/min</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Min Pressure</strong></td>
 <td class=""table-right"" style=""height: 13px;"">20 kPa</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Max Pressure</strong></td>
 <td class=""table-right"" style=""height: 13px;"">600 kPa</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Cold Water Connection</strong></td>
 <td class=""table-right"" style=""height: 13px;"">15mm Diameter (1/2” BSP)</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Product Weight</strong></td>
 <td class=""table-right"" style=""height: 13px;"">1.45kg</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Product Size</strong></td>
 <td class=""table-right"" style=""height: 13px;"">(W) 22.2cm x (D) 38.8cm x (H) 10.2cm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Package Weight</strong></td>
 <td class=""table-right"" style=""height: 13px;"">2.5kg</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Package Size</strong></td>
 <td class=""table-right"" style=""height: 13px;"">(L) 25.0cm x (W) 59.0cm x (H) 10.5cm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01572.png
ONG103,Hot Water System,Instant Heater,Water Heater with Non-Pump (Cirrus Cloud),"Slim Matte-Finished Body.
 5-Multi Spray Handshower.
 Anti-Twist Hose.
 1-Knob Control.
 Dual Over Temperature Safety Cut-off.
 High Quality Stop Valve.
 Anti Leak Heater Tank.
 Rainshower Accessory: sold separately.",450,"<div bis_skin_checked=""1"">
  <table class=""product"" style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td class=""table-left""><strong>Shower Head</strong></td>
 <td class=""table-right"">Handshower<br>(Rainshower accessory&nbsp;<a href=""product/id/rrs-c1xx"">sold separately</a>)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Colour</strong></td>
 <td class=""table-right"">White</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump</strong></td>
 <td class=""table-right"">No</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump Noise Level</strong></td>
 <td class=""table-right"">50-60</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Thermostat</strong></td>
 <td class=""table-right"">Double Action</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Power Rating</strong></td>
 <td class=""table-right"">3.8kW</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Voltage</strong></td>
 <td class=""table-right"">240V</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Water Temperature E-Control</strong></td>
 <td class=""table-right"">Electronic</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Flow Rate</strong></td>
 <td class=""table-right"">2L/min</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Pressure</strong></td>
 <td class=""table-right"">20 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Max Pressure</strong></td>
 <td class=""table-right"">600 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Cold Water Connection</strong></td>
 <td class=""table-right"">15mm Diameter (1/2” BSP)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Weight</strong></td>
 <td class=""table-right"">1.45kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Size</strong></td>
 <td class=""table-right"">(W) 22.2cm x (D) 38.8cm x (H) 10.2cm</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Weight</strong></td>
 <td class=""table-right"">2.5kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Size</strong></td>
 <td class=""table-right"">(L) 25.0cm x (W) 59.0cm x (H) 10.5cm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01576.png
ONG104,Hot Water System,Instant Heater,Water Heater with Non-Pump (Sky Blue),"Slim Matte-Finished Body.
 3-Multi Spray Handshower.
 Anti-Twist Hose.
 1-Knob Control.
 Dual Over Temperature Safety Cut-off.
 High Quality Stop Valve.
 Anti Leak Heater Tank.",450,"<div bis_skin_checked=""1"">
  <table class=""product"" style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td class=""table-left""><strong>Shower Head</strong></td>
 <td class=""table-right"">Handshower<br>(Rainshower accessory&nbsp;<a href=""product/id/rrs-c1xx"">sold separately</a>)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Colour</strong></td>
 <td class=""table-right"">Blue</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump</strong></td>
 <td class=""table-right"">No</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump Noise Level</strong></td>
 <td class=""table-right"">50-60</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Thermostat</strong></td>
 <td class=""table-right"">Double Action</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Power Rating</strong></td>
 <td class=""table-right"">3.8kW</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Voltage</strong></td>
 <td class=""table-right"">240V</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Water Temperature E-Control</strong></td>
 <td class=""table-right"">Electronic</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Flow Rate</strong></td>
 <td class=""table-right"">2L/min</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Pressure</strong></td>
 <td class=""table-right"">20 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Max Pressure</strong></td>
 <td class=""table-right"">600 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Cold Water Connection</strong></td>
 <td class=""table-right"">15mm Diameter (1/2” BSP)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Weight</strong></td>
 <td class=""table-right"">1.45kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Size</strong></td>
 <td class=""table-right"">(W) 22.2cm x (D) 38.8cm x (H) 10.2cm</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Weight</strong></td>
 <td class=""table-right"">2.5kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Size</strong></td>
 <td class=""table-right"">(L) 25.0cm x (W) 59.0cm x (H) 10.5cm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01580.png
ONG105,Hot Water System,Instant Heater,Water Heater with Non-Pump (Aqua Turquoise),"3-Multi Spray Handshower.
 Anti-Twist Hose.
 1-Knob Control.
 Dual Over Temperature Safety Cut-off.
 High Quality Stop Valve.
 Anti Leak Heater Tank.",500,"<div bis_skin_checked=""1"">
  <table class=""product"" style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 27px;"">
 <td class=""table-left"" style=""height: 27px;""><strong>Shower Head</strong></td>
 <td class=""table-right"" style=""height: 27px;"">Handshower<br>(Rainshower accessory&nbsp;<a href=""product/id/rrs-c1xx"">sold separately</a>)</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Colour</strong></td>
 <td class=""table-right"" style=""height: 13px;"">Turquoise</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Pump</strong></td>
 <td class=""table-right"" style=""height: 13px;"">No</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Pump Noise Level</strong></td>
 <td class=""table-right"" style=""height: 13px;"">50-60</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Thermostat</strong></td>
 <td class=""table-right"" style=""height: 13px;"">Double Action</td>
 </tr>
 <tr style=""height: 13.8px;"">
 <td class=""table-left"" style=""height: 13.8px;""><strong>Power Rating</strong></td>
 <td class=""table-right"" style=""height: 13.8px;"">3.8kW</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Voltage</strong></td>
 <td class=""table-right"" style=""height: 13px;"">240V</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Water Temperature E-Control</strong></td>
 <td class=""table-right"" style=""height: 13px;"">Electronic</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Min Flow Rate</strong></td>
 <td class=""table-right"" style=""height: 13px;"">2L/min</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Min Pressure</strong></td>
 <td class=""table-right"" style=""height: 13px;"">20 kPa</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Max Pressure</strong></td>
 <td class=""table-right"" style=""height: 13px;"">600 kPa</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Cold Water Connection</strong></td>
 <td class=""table-right"" style=""height: 13px;"">15mm Diameter (1/2” BSP)</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Product Weight</strong></td>
 <td class=""table-right"" style=""height: 13px;"">1.45kg</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Product Size</strong></td>
 <td class=""table-right"" style=""height: 13px;"">(W) 22.2cm x (D) 38.8cm x (H) 10.2cm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Package Weight</strong></td>
 <td class=""table-right"" style=""height: 13px;"">2.5kg</td>
 </tr>
 <tr style=""height: 13px;"">
 <td class=""table-left"" style=""height: 13px;""><strong>Package Size</strong></td>
 <td class=""table-right"" style=""height: 13px;"">(L) 25.0cm x (W) 59.0cm x (H) 10.5cm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01584.png
ONG106,Hot Water System,Instant Heater,Water Heater with DC Pump (Sandy Beach),"3-Multi Spray Handshower.
 Anti-Twist Hose.
 1-Knob Control.
 Dual Over Temperature Safety Cut-off.
 High Quality Stop Valve.
 Anti Leak Heater Tank.",340,"<div bis_skin_checked=""1"">
  <table class=""product"" style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td class=""table-left""><strong>Shower Head</strong></td>
 <td class=""table-right"">Handshower<br>(Rainshower accessory&nbsp;<a href=""product/id/rrs-c1xx"">sold separately</a>)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Colour</strong></td>
 <td class=""table-right"">Beige</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump</strong></td>
 <td class=""table-right"">DC Inverter</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump Noise Level</strong></td>
 <td class=""table-right"">50-60</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Thermostat</strong></td>
 <td class=""table-right"">Double Action</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Power Rating</strong></td>
 <td class=""table-right"">3.8kW</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Voltage</strong></td>
 <td class=""table-right"">240V</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Water Temperature E-Control</strong></td>
 <td class=""table-right"">Electronic</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Flow Rate</strong></td>
 <td class=""table-right"">2L/min</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Pressure</strong></td>
 <td class=""table-right"">20 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Max Pressure</strong></td>
 <td class=""table-right"">600 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Cold Water Connection</strong></td>
 <td class=""table-right"">15mm Diameter (1/2” BSP)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Weight</strong></td>
 <td class=""table-right"">1.8kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Size</strong></td>
 <td class=""table-right"">(W) 22.2cm x (D) 38.8cm x (H) 10.2cm</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Weight</strong></td>
 <td class=""table-right"">2.85kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Size</strong></td>
 <td class=""table-right"">(L) 25.0cm x (W) 59.0cm x (H) 10.5cm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01592.png
ONG107,Hot Water System,Instant Heater,Water Heater with DC Pump (Cirrus Cloud),"Slim Matte-Finished Body.
 5-Multi Spray Handshower.
 Anti-Twist Hose.
 1-Knob Control.
 Dual Over Temperature Safety Cut-off.
 High Quality Stop Valve.
 Anti Leak Heater Tank.",320,"<div bis_skin_checked=""1"">
  <table class=""product"" style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td class=""table-left""><strong>Shower Head</strong></td>
 <td class=""table-right"">Handshower<br>(Rainshower accessory&nbsp;<a href=""product/id/rrs-c1xx"">sold separately</a>)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Colour</strong></td>
 <td class=""table-right"">White</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump</strong></td>
 <td class=""table-right"">DC Inverter</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump Noise Level</strong></td>
 <td class=""table-right"">50-60</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Thermostat</strong></td>
 <td class=""table-right"">Double Action</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Power Rating</strong></td>
 <td class=""table-right"">3.8kW</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Voltage</strong></td>
 <td class=""table-right"">240V</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Water Temperature E-Control</strong></td>
 <td class=""table-right"">Electronic</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Flow Rate</strong></td>
 <td class=""table-right"">2L/min</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Pressure</strong></td>
 <td class=""table-right"">20 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Max Pressure</strong></td>
 <td class=""table-right"">600 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Cold Water Connection</strong></td>
 <td class=""table-right"">15mm Diameter (1/2” BSP)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Weight</strong></td>
 <td class=""table-right"">1.8kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Size</strong></td>
 <td class=""table-right"">(W) 22.2cm x (D) 38.8cm x (H) 10.2cm</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Weight</strong></td>
 <td class=""table-right"">2.85kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Size</strong></td>
 <td class=""table-right"">(L) 25.0cm x (W) 59.0cm x (H) 10.5cm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01588.png
